mod_id,ws,m,wRMSE
0,5,ei,4.1
1,5,ea,4.4
2,13,ei,4.2
3,13,ea,4.6
4,21,ei,4.3
5,21,ea,4.6
6,29,ei,4.3
7,29,ea,4.6
8,37,ei,4.3
9,37,ea,4.6
10,45,ei,4.4
11,45,ea,4.5
12,53,ei,4.4
13,53,ea,4.6
14,61,ei,4.4
15,61,ea,4.6
16,69,ei,4.4
17,69,ea,4.6
18,77,ei,4.4
19,77,ea,4.6
20,85,ei,4.4
21,85,ea,4.6
22,93,ei,4.4
23,93,ea,4.6
